ID,Age,Gender,Tenure,Plan,Months To Contract End,ARPU,Churned
13870118,54.0,MALE,69.612903225,MaxInfinity 500Mbps,-16.645161291,27.9439,0.0
11746566,53.0,MALE,4.258064516,2000Mbps Fibre Broadband,19.709677419,58.785,0.0
6173441,75.0,FEMALE,82.29032258,1000Mbps Fibre Broadband,16.93548387,37.2905,0.0
18263385,45.0,MALE,55.096774193,1000Mbps Fibre Broadband,-31.129032259,0.0,0.0
19258200,60.0,FEMALE,46.64516129,1000Mbps Fibre Broadband,-22.677419355,34.92,0.0
17399612,70.0,MALE,64.838709677,1000Mbps Fibre Broadband,3.806451612,36.08,0.0
5891916,39.0,MALE,87.93548387,1000Mbps Fibre Broadband,-0.225806452,31.32,0.0
21331832,28.0,FEMALE,22.225806451,1000Mbps Fibre Broadband,20.93548387,0.0,0.0
22418809,39.0,MALE,7.838709677,1000Mbps Fibre Broadband R1,16.129032258,42.8972,0.0
6191964,55.0,MALE,62.225806451,1000Mbps Fibre Broadband,-4.161290323,37.2905,0.0
20514183,27.0,MALE,31.774193548,1000Mbps Fibre Broadband,-7.806451613,37.2905,0.0
18906878,56.0,MALE,49.322580645,1000Mbps Fibre Broadband,19.580645161,31.81,0.0
19094801,42.0,FEMALE,47.806451612,1000Mbps Fibre Broadband,6.93548387,36.08,0.0
22630535,48.0,MALE,5.161290322,1000Mbps Fibre Broadband R1,18.806451612,0.0,0.0
12205496,57.0,MALE,52.387096774,1000Mbps Fibre Broadband,19.161290322,37.2905,0.0
6518129,62.0,MALE,33.161290322,MaxInfinity 500Mbps,-9.193548388,27.9439,0.0
19708970,59.0,MALE,43.096774193,1000Mbps Fibre Broadband,12.419354838,37.2905,0.0
21195313,42.0,MALE,23.838709677,2000Mbps Fibre Broadband,22.774193548,78.56135,0.0
16593963,37.0,MALE,70.612903225,1000Mbps Fibre Broadband,21.354838709,0.0,0.0
20833387,34.0,FEMALE,27.774193548,1000Mbps Fibre Broadband,19.806451612,31.81,0.0
13797200,64.0,MALE,66.870967741,1000Mbps Fibre Broadband,18.322580645,31.81,0.0
5799798,41.0,MALE,8.483870967,2000Mbps Fibre Broadband,15.483870967,48.99,0.0
6536369,48.0,FEMALE,54.967741935,MaxInfinity 1000Mbps Speedboost,-55.0,27.8965,0.0
6536369,48.0,FEMALE,54.967741935,MaxInfinity 1000Mbps Speedboost,-55.0,27.8965,0.0
5983881,57.0,FEMALE,52.580645161,1000Mbps Fibre Broadband,22.516129032,0.0,0.0
19192962,42.0,MALE,47.096774193,1000Mbps Fibre Broadband,-23.129032259,32.6168,0.0
6481408,91.0,FEMALE,12.903225806,2000Mbps Fibre Broadband,11.064516129,48.99,0.0
17886862,47.0,FEMALE,59.419354838,1000Mbps Fibre Broadband,5.580645161,26.92272,0.0
11200840,55.0,FEMALE,66.354838709,1000Mbps Fibre Broadband,16.516129032,37.2905,0.0
22311570,48.0,MALE,8.774193548,2000Mbps Fibre Broadband,15.193548387,50.23944,0.0
16614603,69.0,FEMALE,70.29032258,1000Mbps Fibre Broadband,23.870967741,37.2905,0.0
19703210,52.0,MALE,43.161290322,1000Mbps Fibre Broadband,7.903225806,37.2905,0.0
6516209,44.0,MALE,5.354838709,2000Mbps Fibre Broadband,18.612903225,50.23944,0.0
6471808,49.0,MALE,50.64516129,1000Mbps Fibre Broadband,12.93548387,31.32,0.0
22014205,43.0,MALE,12.870967741,1000Mbps Fibre Broadband R1,11.096774193,51.8449,0.0
6617971,42.0,FEMALE,40.93548387,MaxInfinity 500Mbps,-16.967741936,27.9439,0.0
5899160,67.0,MALE,82.451612903,1000Mbps Fibre Broadband,6.096774193,37.2905,0.0
18877118,29.0,MALE,49.580645161,1000Mbps Fibre Broadband,21.903225806,40.094,0.0
18877118,29.0,MALE,49.580645161,1000Mbps Fibre Broadband,21.903225806,40.094,0.0
18877118,29.0,MALE,49.580645161,1000Mbps Fibre Broadband,21.903225806,40.094,0.0
6565410,46.0,FEMALE,56.096774193,1000Mbps Fibre Broadband,12.741935483,31.32,0.0
13828161,76.0,FEMALE,54.741935483,MaxInfinity 1000Mbps Speedboost,-50.903225807,27.944,0.0
6355887,40.0,MALE,59.451612903,1000Mbps Fibre Broadband,6.193548387,37.2905,0.0
10975957,41.0,FEMALE,81.64516129,1000Mbps Fibre Broadband,19.161290322,31.81,0.0
5995881,70.0,MALE,43.741935483,1000Mbps Fibre Broadband,-19.774193549,37.2905,0.0
5710757,42.0,MALE,38.903225806,MaxInfinity 500Mbps,-14.935483871,27.9439,0.0
5710757,42.0,MALE,38.903225806,MaxInfinity 500Mbps,-14.935483871,27.9439,0.0
11133399,62.0,FEMALE,72.193548387,1000Mbps Fibre Broadband,9.0,37.2905,0.0
10997557,62.0,MALE,27.161290322,1000Mbps Fibre Broadband,-3.193548388,37.2905,0.0
5788278,43.0,FEMALE,54.967741935,MaxInfinity 1000Mbps Speedboost,-53.419354839,27.8965,0.0
20528103,32.0,MALE,31.580645161,1000Mbps Fibre Broadband,-7.612903226,37.2905,0.0
